Origin,Destination,Flight Number,Departure(LT),Arrival(LT),Flight Type,Via,Days of Operation
Hyderabad (HYD),Thiruvananthapuram (TRV),SW 5278,07:00,08:45,Direct,,Daily
Bengaluru (BLR),Chennai (MAA),SW 6269,07:00,08:00,Direct,,Mon Tue Wed Thu Fri Sun
Thiruvananthapuram (TRV),Chennai (MAA),SW 0343,07:00,08:15,Direct,,Mon Tue Wed Thu Sun
Ahmedabad (AMD),Delhi (DEL),SW 2378,07:05,08:45,Direct,,Daily
Bhubaneshwar (BBI),Kolkata (CCU),SW 6793,07:05,08:05,Direct,,Daily
Delhi (DEL),Bhopal (BHO),SW 2112,07:05,08:25,Direct,,Daily
Chennai (MAA),Mangalore (IXE),SW 7746,07:05,08:45,Direct,,Mon Tue Wed Thu Fri Sun
Kolkata (CCU),Silchar (IXS),SW 6179,07:05,08:15,Direct,,Mon Tue Wed Thu Sat Sun
Delhi (DEL),Ahmedabad (AMD),SW 2033,07:10,08:55,Direct,,Daily
Mumbai (BOM),Jodhpur (JDH),SW 0266,07:10,08:50,Direct,,Daily
Mumbai (BOM),Raipur (RPR),SW 2047,07:10,09:00,Direct,,Daily
Chandigarh (IXC),Lucknow (LKO),SW 0146,07:10,08:30,Direct,,Daily
Chandigarh (IXC),Guwahati (GAU),SW 0146,07:10,10:50,Via,LKO,Daily
Indore (IDR),Jabalpur (JLR),SW 7316,07:10,08:25,Direct,,Daily
Mumbai (BOM),Srinagar (SXR),SW 5341,07:10,09:55,Direct,,Tue Fri Sun
Hyderabad (HYD),Ranchi (IXR),SW 6083,07:10,09:00,Direct,,Tue Thu Fri Sun
Kolkata (CCU),Bhubaneshwar (BBI),SW 7623,07:15,08:40,Direct,,Daily
Hyderabad (HYD),Bhubaneshwar (BBI),SW 6242,07:15,08:45,Direct,,Daily
Delhi (DEL),Kolkata (CCU),SW 2219,07:15,09:20,Direct,,Daily
Delhi (DEL),Kathmandu (KTM),SW 1151,07:15,09:20,Direct,,Daily
Delhi (DEL),Chennai (MAA),SW 2281,07:15,10:00,Direct,,Daily
Lucknow (LKO),Amritsar (ATQ),SW 6164,07:15,08:50,Direct,,Daily
Lucknow (LKO),Srinagar (SXR),SW 6164,07:15,10:15,Via,ATQ,Daily
Goa (GOI),Ahmedabad (AMD),SW 6419,07:15,08:50,Direct,,Mon Tue Wed Thu Fri Sun
Kochi (COK),Bengaluru (BLR),SW 0728,07:20,08:25,Direct,,Daily
Mumbai (BOM),Hirasar Airport(HSR),SW 6133,07:20,08:35,Direct,,Daily
Nagpur (NAG),Kolkata (CCU),SW 0812,07:20,08:55,Direct,,Daily
Delhi (DEL),Jammu (IXJ),SW 2180,07:20,08:45,Direct,,Daily
Delhi (DEL),Nagpur (NAG),SW 2098,07:20,09:05,Direct,,Daily
Jaipur (JAI),Kolkata (CCU),SW 0207,07:20,09:25,Direct,,Daily
Jaipur (JAI),Guwahati (GAU),SW 0207,07:20,11:20,Via,CCU,Daily
Chandigarh (IXC),Chennai (MAA),SW 0971,07:20,10:20,Direct,,Daily
Pune (PNQ),Ahmedabad (AMD),SW 6093,07:20,08:35,Direct,,Mon Tue Wed Thu Fri Sun
Nagpur (NAG),Bengaluru (BLR),SW 0909,07:25,09:05,Direct,,Daily
Pune (PNQ),Bengaluru (BLR),SW 0391,07:25,08:55,Direct,,Daily
Bengaluru (BLR),Srinagar (SXR),SW 6497,07:25,11:00,Direct,,Daily
Hyderabad (HYD),Aurangabad (IXU),SW 7252,07:25,08:50,Direct,,Daily
Vijayawada (VGA),Hyderabad (HYD),SW 7209,07:25,08:30,Direct,,Daily
Thiruvananthapuram (TRV),Bengaluru (BLR),SW 6629,07:25,08:40,Direct,,Mon Sun
Lucknow (LKO),Nagpur (NAG),SW 7462,07:25,09:25,Direct,,Mon Wed Fri Sun
Lucknow (LKO),Goa (GOI),SW 7462,07:25,13:40,Via,NAG/ISK,Every Mon Wed Fri Sun
Bengaluru (BLR),Kozhikode (CCJ),SW 7005,07:30,08:45,Direct,,Daily
Bengaluru (BLR),Kochi (COK),SW 7005,07:30,09:45,Via,CCJ,Daily
Amritsar (ATQ),Hyderabad (HYD),SW 0168,07:30,10:05,Direct,,Daily
Chandigarh (IXC),Patna (PAT),SW 6394,07:30,09:10,Direct,,Daily
Chandigarh (IXC),Bhubaneshwar (BBI),SW 6394,07:30,11:10,Via,PAT,Daily
Mumbai (BOM),Bengaluru (BLR),SW 5296,07:30,09:15,Direct,,Daily
Bengaluru (BLR),Raipur (RPR),SW 0405,07:30,09:30,Direct,,Daily
Kolkata (CCU),Guwahati (GAU),SW 0212,07:30,08:40,Direct,,Daily
Delhi (DEL),Bagdogra (IXB),SW 2148,07:30,09:25,Direct,,Daily
Hyderabad (HYD),Dubai (DXB),SW 1465,07:30,10:25,Direct,,Daily
Goa (GOI),Hyderabad (HYD),SW 0744,07:30,08:35,Direct,,Daily
Indore (IDR),Hyderabad (HYD),SW 0378,07:30,08:50,Direct,,Daily
Chennai (MAA),Bengaluru (BLR),SW 6288,07:30,08:30,Direct,,Daily
Chennai (MAA),Amritsar (ATQ),SW 6288,07:30,12:35,Via,BLR,Daily
Chennai (MAA),Srinagar (SXR),SW 6288,07:30,14:05,Via,BLR/ATQ,Daily
Vijayawada (VGA),Visakhapatnam (VTZ),SW 7128,07:30,08:35,Direct,,Daily
Guwahati (GAU),Kolkata (CCU),SW 0201,07:30,08:55,Direct,,Mon Wed Fri Sun
Guwahati (GAU),Dehradun (DED),SW 0201,07:30,12:10,Via,CCU,Every Mon Wed Fri Sun
Bengaluru (BLR),Bhubaneshwar (BBI),SW 0702,07:35,09:40,Direct,,Daily
Patna (PAT),Kolkata (CCU),SW 7086,07:35,09:05,Direct,,Daily
Hyderabad (HYD),Kochi (COK),SW 0752,07:35,09:10,Direct,,Daily
Pune (PNQ),Delhi (DEL),SW 2472,07:35,09:50,Direct,,Daily
Tiruchirappalli (TRZ),Chennai (MAA),SW 7101,07:35,08:40,Direct,,Daily
Bhopal (BHO),Jaipur (JAI),SW 7743,07:35,09:05,Direct,,Mon Wed Fri Sun
Mumbai (BOM),Coimbatore (CJB),SW 5271,07:40,09:35,Direct,,Daily
Kozhikode (CCJ),Chennai (MAA),SW 7002,07:40,09:10,Direct,,Daily
Kolkata (CCU),Ranchi (IXR),SW 7561,07:40,08:50,Direct,,Daily
Coimbatore (CJB),Hyderabad (HYD),SW 0939,07:40,08:55,Direct,,Daily
Guwahati (GAU),Imphal (IMF),SW 2251,07:40,08:45,Direct,,Daily
Hyderabad (HYD),Delhi (DEL),SW 6621,07:40,09:55,Direct,,Daily
Visakhapatnam (VTZ),Hyderabad (HYD),SW 0307,07:40,08:50,Direct,,Mon Tue Wed Thu Fri Sun
Visakhapatnam (VTZ),Varanasi (VNS),SW 0307,07:40,11:15,Via,HYD,Every Mon Tue Wed Thu Fri Sun
Mangalore (IXE),Bengaluru (BLR),SW 0306,07:40,08:35,Direct,,Mon Tue Wed Thu Sat Sun
Kolkata (CCU),Bagdogra (IXB),SW 6785,07:40,08:45,Direct,,Mon Tue Wed Thu Sat Sun
Bengaluru (BLR),Hyderabad (HYD),SW 0484,07:40,08:55,Direct,,Mon Tue Wed Thu Sun
Delhi (DEL),Goa (GOI),SW 2316,07:40,10:10,Direct,,Sun
Ahmedabad (AMD),Jodhpur (JDH),SW 7074,07:45,09:00,Direct,,Daily
Mumbai (BOM),Bhubaneshwar (BBI),SW 2301,07:45,10:00,Direct,,Daily
Mumbai (BOM),Kolkata (CCU),SW 5329,07:45,10:25,Direct,,Daily
Mumbai (BOM),Hyderabad (HYD),SW 5246,07:45,09:10,Direct,,Daily
Hyderabad (HYD),Mumbai (BOM),SW 5213,07:45,09:25,Direct,,Daily
Riyadh (RUH),Mumbai (BOM),SW 0074,07:45,14:20,Direct,,Daily
Lucknow (LKO),Kolkata (CCU),SW 0505,07:45,09:15,Direct,,Daily
Jaipur (JAI),Delhi (DEL),SW 2165,07:45,08:50,Direct,,Daily
Bhubaneshwar (BBI),Delhi (DEL),SW 5061,07:50,10:30,Direct,,Daily
Bengaluru (BLR),Dubai (DXB),SW 1485,07:50,10:45,Direct,,Daily
Tiruchirappalli (TRZ),Bengaluru (BLR),SW 7245,07:50,09:00,Direct,,Daily
Visakhapatnam (VTZ),Bengaluru (BLR),SW 0218,07:50,09:25,Direct,,Daily
Chennai (MAA),Kochi (COK),SW 5394,07:50,09:05,Direct,,Daily
Lucknow (LKO),Delhi (DEL),SW 2026,07:50,09:00,Direct,,Daily
Hyderabad (HYD),Chennai (MAA),SW 0243,07:50,09:00,Direct,,Daily
Goa (GOI),Chennai (MAA),SW 0908,07:50,09:20,Direct,,Mon Tue Wed Thu Fri Sun
Indore (IDR),Ahmedabad (AMD),SW 7175,07:55,09:15,Direct,,Daily
Coimbatore (CJB),Bengaluru (BLR),SW 0475,07:55,08:45,Direct,,Daily
Bengaluru (BLR),Kannur (CNN),SW 7728,07:55,09:15,Direct,,Daily
Tuticorin (TCR),Chennai (MAA),SW 7186,07:55,09:25,Direct,,Daily
Patna (PAT),Hyderabad (HYD),SW 6092,07:55,10:05,Direct,,Mon Tue Wed Sat Sun
Chennai (MAA),Hyderabad (HYD),SW 0295,07:55,09:10,Direct,,Mon Tue Wed Thu Sat Sun
Hyderabad (HYD),Ahmedabad (AMD),SW 0134,08:00,09:45,Direct,,Daily
Hyderabad (HYD),Amritsar (ATQ),SW 0167,08:00,10:50,Direct,,Daily
Kolkata (CCU),Bengaluru (BLR),SW 0496,08:00,10:40,Direct,,Daily
Bengaluru (BLR),Delhi (DEL),SW 2186,08:00,11:00,Direct,,Daily
Mumbai (BOM),Delhi (DEL),SW 0333,08:00,10:15,Direct,,Daily
Delhi (DEL),Mumbai (BOM),SW 0675,08:00,10:20,Direct,,Daily
Lucknow (LKO),Mumbai (BOM),SW 2238,08:00,10:15,Direct,,Daily
Jaipur (JAI),Dehradun (DED),SW 7274,08:00,09:20,Direct,,Daily
Chennai (MAA),Delhi (DEL),SW 0404,08:00,10:55,Direct,,Daily
Goa (GOI),Raipur (RPR),SW 0211,08:00,09:50,Direct,,Mon Tue Wed Thu Fri Sun
Hyderabad (HYD),Patna (PAT),SW 6382,08:00,09:50,Direct,,Mon Tue Wed Thu Fri Sun
Kolkata (CCU),Dibrugarh (DIB),SW 0893,08:05,09:40,Direct,,Daily
Doha (DOH),Kannur (CNN),SW 1326,08:05,14:30,Direct,,Daily
Goa (GOI),Bengaluru (BLR),SW 0249,08:05,09:15,Direct,,Mon Tue Wed Thu Fri Sun
Bhubaneshwar (BBI),Mumbai (BOM),SW 5146,08:10,10:50,Direct,,Daily
Kolkata (CCU),Patna (PAT),SW 0713,08:10,09:20,Direct,,Daily
Delhi (DEL),Dehradun (DED),SW 2018,08:10,09:00,Direct,,Daily
Delhi (DEL),Leh (IXL),SW 5161,08:10,09:35,Direct,,Daily
Delhi (DEL),Udaipur (UDR),SW 2423,08:10,09:25,Direct,,Daily
Madurai (IXM),Chennai (MAA),SW 7194,08:10,09:35,Direct,,Daily
Tirupati (TIR),Hyderabad (HYD),SW 7563,08:10,09:35,Direct,,Mon Tue Wed Thu Sat Sun
Tirupati (TIR),Kolhapur (KLH),SW 7563,08:10,11:40,Via,HYD,Every Mon Tue Wed Thu Sat Sun
Vadodara (BDQ),Delhi (DEL),SW 2484,08:15,09:55,Direct,,Daily
Chandigarh (IXC),Bengaluru (BLR),SW 6634,08:15,11:15,Direct,,Daily
Madurai (IXM),Bengaluru (BLR),SW 7257,08:15,09:40,Direct,,Daily
Mumbai (BOM),Bagdogra (IXB),SW 5305,08:15,10:55,Direct,,Daily
Kolkata (CCU),Delhi (DEL),SW 5194,08:15,10:45,Direct,,Daily
Nagpur (NAG),Hyderabad (HYD),SW 7548,08:15,09:50,Direct,,Daily
Hyderabad (HYD),Tirupati (TIR),SW 7503,08:15,09:40,Direct,,Daily
Chennai (MAA),Madurai (IXM),SW 7167,08:15,09:40,Direct,,Daily
Lucknow (LKO),Indore (IDR),SW 7439,08:15,10:20,Direct,,Daily
Lucknow (LKO),Shirdi (SAG),SW 7439,08:15,12:00,Via,IDR,Daily
Lucknow (LKO),Vijayawada (VGA),SW 7439,08:15,14:25,Via,IDR/SAG,Daily
Lucknow (LKO),Tirupati (TIR),SW 7439,08:15,16:00,Direct,,Daily
Surat (STV),Hyderabad (HYD),SW 0929,08:15,09:45,Direct,,Mon Tue Fri Sun
Ahmedabad (AMD),Hyderabad (HYD),SW 0879,08:20,09:55,Direct,,Daily
Ahmedabad (AMD),Visakhapatnam (VTZ),SW 0879,08:20,11:50,Via,HYD,Daily
Nagpur (NAG),Ahmedabad (AMD),SW 7246,08:20,10:15,Direct,,Daily
Delhi (DEL),Bengaluru (BLR),SW 2786,08:20,11:00,Direct,,Daily
Mumbai (BOM),Dubai (DXB),SW 1451,08:20,10:25,Direct,,Daily
Hyderabad (HYD),Kolkata (CCU),SW 0664,08:20,10:20,Direct,,Daily
Chennai (MAA),Coimbatore (CJB),SW 0782,08:20,09:25,Direct,,Daily
Mangalore (IXE),Hyderabad (HYD),SW 7164,08:20,10:10,Direct,,Daily
Indore (IDR),Nagpur (NAG),SW 7744,08:20,09:30,Direct,,Daily
Delhi (DEL),Lucknow (LKO),SW 2107,08:20,09:30,Direct,,Mon Tue Thu Fri Sat Sun
Doha (DOH),Kochi (COK),SW 1324,08:20,15:15,Direct,,Mon Wed Thu Fri Sat Sun
Udaipur (UDR),Jaipur (JAI),SW 7718,08:20,09:25,Direct,,Sun
Patna (PAT),Bengaluru (BLR),SW 0247,08:20,11:05,Direct,,Tue Sat Sun
Ahmedabad (AMD),Mumbai (BOM),SW 5125,08:25,09:45,Direct,,Daily
Bengaluru (BLR),Kolkata (CCU),SW 0442,08:25,10:55,Direct,,Daily
Hubli (HBX),Bengaluru (BLR),SW 7233,08:25,09:35,Direct,,Daily
Agartala (IXA),Kolkata (CCU),SW 7419,08:25,09:40,Direct,,Daily
Chennai (MAA),Kolkata (CCU),SW 0321,08:25,10:45,Direct,,Daily
Visakhapatnam (VTZ),Chennai (MAA),SW 0845,08:25,09:45,Direct,,Daily
Bhubaneshwar (BBI),Chennai (MAA),SW 0141,08:25,10:15,Direct,,Mon Tue Wed Fri Sat Sun
Nagpur (NAG),Mumbai (BOM),SW 0174,08:25,09:50,Direct,,Mon Tue Wed Thu Sun
Mumbai (BOM),Ahmedabad (AMD),SW 2347,08:30,09:50,Direct,,Daily
Dehradun (DED),Ahmedabad (AMD),SW 0569,08:30,10:25,Direct,,Daily
Bengaluru (BLR),Mumbai (BOM),SW 5216,08:30,10:30,Direct,,Daily
Ranchi (IXR),Bengaluru (BLR),SW 6799,08:30,10:55,Direct,,Daily
Mumbai (BOM),Chennai (MAA),SW 0683,08:30,10:25,Direct,,Daily
Guwahati (GAU),Chennai (MAA),SW 0927,08:30,11:40,Direct,,Daily
Guwahati (GAU),Coimbatore (CJB),SW 0927,08:30,13:25,Via,MAA,Daily
Delhi (DEL),Patna (PAT),SW 5104,08:30,10:10,Direct,,Daily
Patna (PAT),Delhi (DEL),SW 2163,08:30,10:20,Direct,,Daily
Surat (STV),Delhi (DEL),SW 2646,08:30,10:20,Direct,,Daily
Hyderabad (HYD),Bagdogra (IXB),SW 0346,08:30,10:45,Direct,,Daily
Chennai (MAA),Thiruvananthapuram (TRV),SW 6216,08:30,09:50,Direct,,Daily
Mumbai (BOM),Bhopal (BHO),SW 5172,08:35,10:05,Direct,,Daily
Mumbai (BOM),Bangkok (BKK),SW 1051,08:35,14:30,Direct,,Daily
Bengaluru (BLR),Patna (PAT),SW 0463,08:35,11:10,Direct,,Daily
Hubli (HBX),Mumbai (BOM),SW 5145,08:35,09:55,Direct,,Daily
Indore (IDR),Mumbai (BOM),SW 2232,08:35,09:55,Direct,,Daily
Delhi (DEL),Dubai (DXB),SW 1461,08:35,11:15,Direct,,Daily
Doha (DOH),Hyderabad (HYD),SW 1314,08:35,15:05,Direct,,Daily
Hyderabad (HYD),Ranchi (IXR),SW 0421,08:35,10:20,Direct,,Daily
Jaipur (JAI),Ahmedabad (AMD),SW 7217,08:35,10:15,Direct,,Daily
Jaipur (JAI),Aurangabad (IXU),SW 7217,08:35,12:45,Via,AMD,Daily
Kolkata (CCU),Aizawl (AJL),SW 6941,08:35,09:45,Direct,,Mon Tue Thu Sat Sun
Udaipur (UDR),Mumbai (BOM),SW 5185,08:35,09:55,Direct,,Mon Tue Wed Thu Sun
Bhopal (BHO),Ahmedabad (AMD),SW 7526,08:40,10:20,Direct,,Daily
Bengaluru (BLR),Udaipur (UDR),SW 0687,08:40,11:00,Direct,,Daily
Mumbai (BOM),Guwahati (GAU),SW 0228,08:40,11:30,Direct,,Daily
Mumbai (BOM),Imphal (IMF),SW 0228,08:40,14:10,Via,GAU,Daily
Mumbai (BOM),Jaipur (JAI),SW 5281,08:40,10:30,Direct,,Daily
Kolkata (CCU),Chennai (MAA),SW 0563,08:40,11:10,Direct,,Daily
Raipur (RPR),Kolkata (CCU),SW 0669,08:40,10:10,Direct,,Daily
Pune (PNQ),Delhi (DEL),SW 2661,08:40,10:55,Direct,,Mon Tue Thu Fri Sat Sun
Hyderabad (HYD),Rajahmundry (RJA),SW 7477,08:40,09:55,Direct,,Mon Tue Wed Thu Sat Sun
Bengaluru (BLR),Jabalpur (JLR),SW 6459,08:40,10:35,Direct,,Mon Wed Fri Sun
Chennai (MAA),Bengaluru (BLR),SW 6815,08:40,09:40,Direct,,Mon Wed Fri Sun
Bengaluru (BLR),Guwahati (GAU),SW 0457,08:45,11:45,Direct,,Daily
Bengaluru (BLR),Aizawl (AJL),SW 0457,08:45,13:55,Via,GAU,Daily
Rajahmundry (RJA),Bengaluru (BLR),SW 7113,08:45,10:25,Direct,,Daily
Mumbai (BOM),Singapore (SIN),SW 1011,08:45,17:20,Direct,,Daily
Jabalpur (JLR),Hyderabad (HYD),SW 7308,08:45,11:00,Direct,,Daily
Hyderabad (HYD),Udaipur (UDR),SW 0846,08:45,10:25,Direct,,Daily
Kolkata (CCU),Dimapur (DMU),SW 6339,08:45,10:05,Direct,,Mon Tue Wed Thu Fri Sun
Silchar (IXS),Kolkata (CCU),SW 6181,08:45,09:55,Direct,,Mon Tue Wed Thu Sat Sun
Ahmedabad (AMD),Jammu (IXJ),SW 6687,08:45,10:50,Direct,,Tue Thu Sat Sun
Bengaluru (BLR),Jaipur (JAI),SW 0415,08:50,11:20,Direct,,Daily
Lucknow (LKO),Bengaluru (BLR),SW 0325,08:50,11:30,Direct,,Daily
Mumbai (BOM),Jaisalmer (JSA),SW 5142,08:50,11:00,Direct,,Daily
Coimbatore (CJB),Delhi (DEL),SW 2276,08:50,11:55,Direct,,Daily
Hyderabad (HYD),Dehradun (DED),SW 0422,08:50,11:15,Direct,,Daily
Delhi (DEL),Phuket (HKT),SW 1081,08:50,15:40,Direct,,Daily
Ahmedabad (AMD),Lucknow (LKO),SW 6244,08:50,10:35,Direct,,Mon Tue Thu Fri Sat Sun
Rajahmundry (RJA),Hyderabad (HYD),SW 7119,08:50,10:00,Direct,,Mon Tue Thu Fri Sat Sun
Kolkata (CCU),Hyderabad (HYD),SW 6513,08:50,11:15,Direct,,Mon Tue Wed Sun
Jodhpur (JDH),Delhi (DEL),SW 2246,08:50,10:10,Direct,,Mon Tue Wed Thu Sat Sun
Bhopal (BHO),Delhi (DEL),SW 2215,08:55,10:15,Direct,,Daily
Mumbai (BOM),Mangalore (IXE),SW 6674,08:55,10:25,Direct,,Daily
Doha (DOH),Delhi (DEL),SW 1308,08:55,15:00,Direct,,Daily
Delhi (DEL),Hyderabad (HYD),SW 0425,08:55,11:10,Direct,,Daily
Delhi (DEL),Indore (IDR),SW 2016,08:55,10:25,Direct,,Daily
Visakhapatnam (VTZ),Vijayawada (VGA),SW 7254,08:55,09:55,Direct,,Daily
Chennai (MAA),Guwahati (GAU),SW 6309,08:55,11:35,Direct,,Mon Tue Wed Thu Sun
Chennai (MAA),Agartala (IXA),SW 6309,08:55,13:50,Via,GAU,Every Mon Tue Wed Thu Sun
Srinagar (SXR),Delhi (DEL),SW 2221,08:55,10:30,Direct,,Mon Wed Fri Sat Sun
Vijayawada (VGA),Bengaluru (BLR),SW 7203,09:00,10:35,Direct,,Daily
Mumbai (BOM),Delhi (DEL),SW 0355,09:00,11:10,Direct,,Daily
Delhi (DEL),Mumbai (BOM),SW 2157,09:00,11:20,Direct,,Daily
Hyderabad (HYD),Delhi (DEL),SW 2051,09:00,11:20,Direct,,Daily
Visakhapatnam (VTZ),Delhi (DEL),SW 5344,09:00,11:25,Direct,,Daily
Delhi (DEL),Kolkata (CCU),SW 2104,09:00,11:05,Direct,,Mon Thu Fri Sat Sun
Bengaluru (BLR),Hyderabad (HYD),SW 0886,09:00,10:15,Direct,,Mon Tue Wed Thu Fri Sun
Bengaluru (BLR),Gorakhpur (GOP),SW 0886,09:00,13:25,Via,HYD,Every Mon Tue Wed Thu Fri Sun
Bhubaneshwar (BBI),Varanasi (VNS),SW 7035,09:00,10:55,Direct,,Mon Wed Fri Sun
Guwahati (GAU),Hyderabad (HYD),SW 6881,09:00,12:05,Direct,,Mon Wed Thu Fri Sat Sun
Kozhikode (CCJ),Kochi (COK),SW 7005,09:05,09:45,Direct,,Daily
Mumbai (BOM),Bengaluru (BLR),SW 5193,09:05,10:45,Direct,,Daily
Bengaluru (BLR),Bagdogra (IXB),SW 0443,09:05,11:55,Direct,,Daily
Hirasar Airport(HSR),Mumbai (BOM),SW 6132,09:05,10:15,Direct,,Daily
Mumbai (BOM),Thiruvananthapuram (TRV),SW 5109,09:05,11:20,Direct,,Daily
Kochi (COK),Delhi (DEL),SW 0706,09:05,12:15,Direct,,Daily
Mangalore (IXE),Chennai (MAA),SW 7747,09:05,10:40,Direct,,Daily
Bengaluru (BLR),Thiruvananthapuram (TRV),SW 0688,09:05,10:25,Direct,,Mon Tue Wed Thu Fri Sun
Bengaluru (BLR),Mangalore (IXE),SW 6162,09:10,10:15,Direct,,Daily
Guwahati (GAU),Kolkata (CCU),SW 0213,09:10,10:35,Direct,,Daily
Delhi (DEL),Guwahati (GAU),SW 2022,09:10,11:25,Direct,,Daily
Delhi (DEL),Silchar (IXS),SW 2022,09:10,13:45,Via,GAU,Daily
Ranchi (IXR),Delhi (DEL),SW 5043,09:10,11:15,Direct,,Daily
Lucknow (LKO),Guwahati (GAU),SW 0146,09:10,10:50,Direct,,Daily
Aurangabad (IXU),Hyderabad (HYD),SW 7259,09:10,10:35,Direct,,Daily
Hyderabad (HYD),Vijayawada (VGA),SW 7208,09:10,10:05,Direct,,Daily
Bengaluru (BLR),Amritsar (ATQ),SW 6288,09:10,12:35,Direct,,Daily
Bengaluru (BLR),Srinagar (SXR),SW 6288,09:10,14:05,Via,ATQ,Daily
Chennai (MAA),Tiruchirappalli (TRZ),SW 7191,09:10,10:15,Direct,,Daily
Indore (IDR),Jammu (IXJ),SW 0959,09:10,11:10,Direct,,Tue Thu Sun
Bengaluru (BLR),Delhi (DEL),SW 0871,09:15,12:05,Direct,,Daily
Chennai (MAA),Mumbai (BOM),SW 5304,09:15,11:20,Direct,,Daily
Hyderabad (HYD),Kochi (COK),SW 6707,09:15,10:50,Direct,,Daily
Delhi (DEL),Leh (IXL),SW 2583,09:15,10:40,Direct,,Daily
Lucknow (LKO),Hyderabad (HYD),SW 0523,09:15,11:20,Direct,,Daily
Hyderabad (HYD),Raipur (RPR),SW 0192,09:15,10:30,Direct,,Daily
Thiruvananthapuram (TRV),Hyderabad (HYD),SW 5368,09:15,11:00,Direct,,Daily
Tirupati (TIR),Delhi (DEL),SW 2075,09:15,11:45,Direct,,Mon Tue Wed Thu Sat Sun
Madurai (IXM),Delhi (DEL),SW 2088,09:15,12:30,Direct,,Mon Tue Wed Thu Sun
Raipur (RPR),Delhi (DEL),SW 2191,09:15,11:15,Direct,,Sun
Kolkata (CCU),Shillong (SHL),SW 7304,09:15,11:05,Direct,,Tue Thu Sat Sun
Jodhpur (JDH),Ahmedabad (AMD),SW 7075,09:20,10:45,Direct,,Daily
Bhubaneshwar (BBI),Hyderabad (HYD),SW 0718,09:20,11:05,Direct,,Daily
Lucknow (LKO),Raipur (RPR),SW 6521,09:20,10:40,Direct,,Daily
Lucknow (LKO),Bhubaneshwar (BBI),SW 6521,09:20,12:10,Via,RPR,Daily
Bhopal (BHO),Bengaluru (BLR),SW 0393,09:20,11:30,Direct,,Daily
Bengaluru (BLR),Varanasi (VNS),SW 0438,09:20,11:45,Direct,,Daily
Ranchi (IXR),Kolkata (CCU),SW 7562,09:20,10:30,Direct,,Daily
Imphal (IMF),Guwahati (GAU),SW 5203,09:20,10:15,Direct,,Daily
Imphal (IMF),Delhi (DEL),SW 5203,09:20,13:40,Via,GAU,Daily
Jammu (IXJ),Delhi (DEL),SW 2181,09:20,10:50,Direct,,Daily
Hyderabad (HYD),Singapore (SIN),SW 1027,09:20,16:40,Direct,,Daily
Amritsar (ATQ),Srinagar (SXR),SW 6164,09:20,10:15,Direct,,Daily
Ahmedabad (AMD),Amritsar (ATQ),SW 0106,09:20,11:15,Direct,,Mon Tue Thu Fri Sat Sun
Bagdogra (IXB),Kolkata (CCU),SW 6786,09:20,10:30,Direct,,Mon Tue Wed Thu Sat Sun
Kolkata (CCU),Agartala (IXA),SW 0966,09:25,10:25,Direct,,Daily
Ahmedabad (AMD),Kolkata (CCU),SW 0751,09:25,12:00,Direct,,Daily
Ahmedabad (AMD),Bagdogra (IXB),SW 0751,09:25,14:05,Via,CCU,Daily
Delhi (DEL),Ahmedabad (AMD),SW 5132,09:25,11:10,Direct,,Daily
Kannur (CNN),Bengaluru (BLR),SW 7729,09:25,10:35,Direct,,Daily
Bengaluru (BLR),Chennai (MAA),SW 0904,09:25,10:30,Direct,,Daily
Chennai (MAA),Kochi (COK),SW 0704,09:25,10:40,Direct,,Daily
Delhi (DEL),Khajuraho (HJR),SW 5082,09:25,10:30,Direct,,Daily
Delhi (DEL),Varanasi (VNS),SW 5082,09:25,11:55,Via,HJR,Daily
Hyderabad (HYD),Guwahati (GAU),SW 0972,09:25,11:50,Direct,,Daily
Hyderabad (HYD),Dibrugarh (DIB),SW 0972,09:25,14:00,Via,GAU,Daily
Belgaum (IXG),Delhi (DEL),SW 2512,09:25,11:50,Direct,,Mon Wed Fri Sun
Delhi (DEL),Bengaluru (BLR),SW 6608,09:30,12:20,Direct,,Daily
Kolkata (CCU),Mumbai (BOM),SW 5297,09:30,12:30,Direct,,Daily
Hyderabad (HYD),Mumbai (BOM),SW 5163,09:30,11:10,Direct,,Daily
Jodhpur (JDH),Mumbai (BOM),SW 0267,09:30,11:25,Direct,,Daily
Raipur (RPR),Mumbai (BOM),SW 6373,09:30,11:35,Direct,,Daily
Dibrugarh (DIB),Delhi (DEL),SW 2037,09:30,12:55,Direct,,Daily
Delhi (DEL),Chennai (MAA),SW 0385,09:30,12:20,Direct,,Daily
Delhi (DEL),Singapore (SIN),SW 1013,09:30,17:55,Direct,,Daily
Ahmedabad (AMD),Kochi (COK),SW 6391,09:30,11:55,Direct,,Mon Tue Thu Fri Sat Sun
Hyderabad (HYD),Varanasi (VNS),SW 0307,09:30,11:15,Direct,,Mon Tue Wed Thu Fri Sun
Ahmedabad (AMD),Goa (GOI),SW 6375,09:30,11:05,Direct,,Sun
Mumbai (BOM),Doha (DOH),SW 1305,09:35,10:55,Direct,,Daily
Kannur (CNN),Kochi (COK),SW 7255,09:35,10:30,Direct,,Daily
Kannur (CNN),Thiruvananthapuram (TRV),SW 7255,09:35,11:50,Via,COK,Daily
Kochi (COK),Chennai (MAA),SW 0539,09:35,10:45,Direct,,Daily
Kochi (COK),Patna (PAT),SW 0539,09:35,13:50,Via,MAA,Daily
