Origin,Destination,Flight Number,Departure(LT),Arrival(LT),Flight Type,Via,Days of Operation
Chennai (MAA),Kozhikode (CCJ),SW 7091,05:35,07:20,Direct,,Daily
Kolkata (CCU),Lucknow (LKO),SW 6139,05:35,07:15,Direct,,Daily
Bengaluru (BLR),Thiruvananthapuram (TRV),SW 0873,05:35,06:55,Direct,,Mon Sun
Hyderabad (HYD),Chennai (MAA),SW 0531,05:35,06:45,Direct,,Mon Tue Wed Thu Sat Sun
Ahmedabad (AMD),Nagpur (NAG),SW 7502,05:40,07:35,Direct,,Daily
Jaipur (JAI),Bengaluru (BLR),SW 0839,05:40,08:00,Direct,,Daily
Bengaluru (BLR),Tiruchirappalli (TRZ),SW 7236,05:40,07:05,Direct,,Daily
Mumbai (BOM),Hyderabad (HYD),SW 5012,05:40,07:05,Direct,,Daily
Kolkata (CCU),Guwahati (GAU),SW 0271,05:40,07:00,Direct,,Daily
Hyderabad (HYD),Goa (GOI),SW 0743,05:40,06:55,Direct,,Daily
Ahmedabad (AMD),Delhi (DEL),SW 2271,05:45,07:25,Direct,,Daily
Delhi (DEL),Amritsar (ATQ),SW 5103,05:45,07:00,Direct,,Daily
Bengaluru (BLR),Delhi (DEL),SW 6021,05:45,08:35,Direct,,Daily
Bengaluru (BLR),Lucknow (LKO),SW 6353,05:45,08:20,Direct,,Daily
Chennai (MAA),Mumbai (BOM),SW 0682,05:45,07:50,Direct,,Daily
Delhi (DEL),Lucknow (LKO),SW 2025,05:45,06:55,Direct,,Daily
Delhi (DEL),Pune (PNQ),SW 2003,05:45,08:00,Direct,,Daily
Hyderabad (HYD),Mangalore (IXE),SW 7549,05:45,07:35,Direct,,Daily
Delhi (DEL),Bengaluru (BLR),SW 2061,05:45,08:25,Direct,,Mon Sun
Chennai (MAA),Goa (GOI),SW 0907,05:45,07:20,Direct,,Mon Tue Wed Thu Fri Sun
Delhi (DEL),Tirupati (TIR),SW 0286,05:45,08:25,Direct,,Mon Tue Wed Thu Sat Sun
Chandigarh (IXC),Delhi (DEL),SW 2315,05:45,06:45,Direct,,Sun
Kolkata (CCU),Ahmedabad (AMD),SW 0245,05:50,08:45,Direct,,Daily
Ahmedabad (AMD),Hyderabad (HYD),SW 6337,05:50,07:35,Direct,,Daily
Pune (PNQ),Ranchi (IXR),SW 6484,05:50,07:55,Direct,,Daily
Chennai (MAA),Vijayawada (VGA),SW 7084,05:50,07:10,Direct,,Daily
Hyderabad (HYD),Visakhapatnam (VTZ),SW 0618,05:50,07:00,Direct,,Mon Tue Wed Thu Fri Sun
Hyderabad (HYD),Bhopal (BHO),SW 7121,05:55,08:15,Direct,,Daily
Pune (PNQ),Bengaluru (BLR),SW 6564,05:55,07:20,Direct,,Daily
Chandigarh (IXC),Mumbai (BOM),SW 5261,05:55,08:25,Direct,,Daily
Chennai (MAA),Delhi (DEL),SW 0384,05:55,08:50,Direct,,Daily
Delhi (DEL),Surat (STV),SW 2272,05:55,08:00,Direct,,Daily
Delhi (DEL),Visakhapatnam (VTZ),SW 5345,05:55,08:10,Direct,,Daily
Delhi (DEL),Ahmedabad (AMD),SW 6046,06:00,07:45,Direct,,Daily
Bengaluru (BLR),Madurai (IXM),SW 7171,06:00,07:30,Direct,,Daily
Mumbai (BOM),Delhi (DEL),SW 2156,06:00,08:05,Direct,,Daily
Delhi (DEL),Mumbai (BOM),SW 6218,06:00,08:15,Direct,,Daily
Guwahati (GAU),Mumbai (BOM),SW 6224,06:00,09:45,Direct,,Daily
Jaipur (JAI),Mumbai (BOM),SW 5282,06:00,07:50,Direct,,Daily
Hyderabad (HYD),Delhi (DEL),SW 0424,06:00,08:10,Direct,,Daily
Lucknow (LKO),Delhi (DEL),SW 2108,06:00,07:20,Direct,,Daily
Chennai (MAA),Dubai (DXB),SW 1471,06:00,09:15,Direct,,Daily
Tiruchirappalli (TRZ),Hyderabad (HYD),SW 2171,06:00,07:20,Direct,,Daily
Indore (IDR),Lucknow (LKO),SW 7127,06:00,07:50,Direct,,Daily
Chennai (MAA),Tuticorin (TCR),SW 7193,06:00,07:35,Direct,,Daily
Amritsar (ATQ),Delhi (DEL),SW 5123,06:05,07:20,Direct,,Daily
Delhi (DEL),Vadodara (BDQ),SW 5283,06:05,07:45,Direct,,Daily
Bengaluru (BLR),Rajahmundry (RJA),SW 7107,06:05,08:00,Direct,,Daily
Kochi (COK),Mumbai (BOM),SW 6702,06:05,08:10,Direct,,Daily
Nagpur (NAG),Mumbai (BOM),SW 5002,06:05,07:30,Direct,,Daily
Pune (PNQ),Kolkata (CCU),SW 6359,06:05,08:25,Direct,,Daily
Hyderabad (HYD),Nagpur (NAG),SW 7452,06:05,07:30,Direct,,Daily
Hyderabad (HYD),Vijayawada (VGA),SW 7201,06:05,07:05,Direct,,Daily
Chennai (MAA),Tiruchirappalli (TRZ),SW 7298,06:05,07:15,Direct,,Daily
Hyderabad (HYD),Kolkata (CCU),SW 6494,06:05,08:05,Direct,,Mon Tue Wed Sun
Bengaluru (BLR),Mangalore (IXE),SW 6858,06:05,07:10,Direct,,Mon Tue Wed Thu Sat Sun
Mumbai (BOM),Bengaluru (BLR),SW 5352,06:05,07:45,Direct,,Mon Tue Wed Thu Sun
Delhi (DEL),Belgaum (IXG),SW 2511,06:05,08:35,Direct,,Mon Wed Fri Sun
Chennai (MAA),Bhubaneshwar (BBI),SW 0288,06:10,07:55,Direct,,Daily
Bengaluru (BLR),Kolkata (CCU),SW 6439,06:10,08:45,Direct,,Daily
Bengaluru (BLR),Coimbatore (CJB),SW 0857,06:10,07:20,Direct,,Daily
Guwahati (GAU),Bengaluru (BLR),SW 6542,06:10,09:35,Direct,,Daily
Indore (IDR),Bengaluru (BLR),SW 0701,06:10,08:05,Direct,,Daily
Mumbai (BOM),Kolkata (CCU),SW 5122,06:10,08:40,Direct,,Daily
Hyderabad (HYD),Surat (STV),SW 0928,06:10,07:45,Direct,,Daily
Singapore (SIN),Chennai (MAA),SW 1002,06:10,07:55,Direct,,Daily
Ahmedabad (AMD),Kolkata (CCU),SW 0966,06:15,08:35,Direct,,Daily
Ahmedabad (AMD),Agartala (IXA),SW 0966,06:15,10:25,Via,CCU,Daily
